Name,State_fips,Income2008,Income2009,Income2010,Income2011,Income2012,Income2013,Income2014,Income2015,IncomeRank,Food2008,Food2009,Food2010,Food2011,Food2012,Food2013,Food2014,Food2015,FoodRank,Health2008,Health2009,Health2010,Health2011,Health2012,Health2013,Health2014,Health2015,HealthRank,Transportation2008,Transportation2009,Transportation2010,Transportation2011,Transportation2012,Transportation2013,Transportation2014,Transportation2015,TransportationRank,Housing2008,Housing2009,Housing2010,Housing2011,Housing2012,Housing2013,Housing2014,Housing2015,HousingRank
Georgia,13,72422.983,66844.04344,71572.90086,71616.29153,71919.33543,74138.05781,77148.17272,79811.99118,24,6214.73,6124.12,6292.37,6365.47,6113.667161,6622.589353,6674.460226,6810.66,45,2658.01,2763.91,2761.56,2923.33,2929.521828,3130.673759,3333.109593,3413.08,48,8861.66,8453.04,8344.12,7399.52,7394.559259,8527.603783,9192.037447,9265.84,45,16949.1,13465.9,13702.8,13810.2,13276.56938,17770.60126,17631.46859,17997.67,41
Hawaii,15,72820.87332,77820.42853,77793.70426,79377.89982,88035.39238,91071.77157,94786.9296,97296.45242,8,7247.59,7205.34,7299.8,7581.04,7413.192362,8266.210733,8200.714075,8279.37,1,2682.51,2712.39,2786.95,3062.27,3122.14323,3453.495364,3761.776497,3821.86,29,10021,10313.1,9583.09,8735.44,8647.369094,10628.38973,10860.37193,10623.68,6,20352.1,16998.8,16346.2,16193.6,15750.61932,21501.77917,21142.21709,21896.86,1
Idaho,16,60642.20384,61131.63228,64483.76472,64499.46313,66367.12971,65983.16871,67804.64804,70454.72881,43,6454.73,6445.68,6743.2,6833.56,6441.314708,7046.294907,7141.161101,7135.06,29,3053.2,3163.47,3218.08,3403.64,3471.736922,3638.4395,3875.414709,3994.73,11,9157.71,8929.98,8888.28,7944.89,7900.730942,9117.700611,9711.961564,9939.09,25,17067.7,13808.5,14243.9,14292.1,13657.14174,18208.84152,17856.06621,18567.07,30
Illinois,17,77878.12099,76985.44977,79317.94838,79428.98933,81455.54639,82699.13522,85999.24528,88896.11846,15,6542.74,6545.98,6781.94,6872.51,6519.033797,7135.291199,7217.405918,7270.81,17,2908.39,3017.27,3049.58,3237.35,3269.529532,3479.614099,3714.279888,3813.93,30,9393.81,9059.62,8964.14,8071.69,7966.997026,9264.004519,9903.830368,10063.33,17,17824.5,14402.6,14652.8,14717,13982.12251,18853.10082,18639.51372,19235.12,14
Indiana,18,67119.71609,65228.13898,67302.51758,67354.83014,67322.55239,67750.39041,70646.43082,73428.45716,37,6453.43,6414.88,6625.88,6700.39,6345.806389,6906.246975,7005.011092,7032.95,33,2982.21,3090.85,3123.94,3294.62,3347.808553,3511.381938,3740.695099,3842.87,28,9203.73,8889.91,8761.21,7818.78,7772.823055,8943.222901,9583.206062,9764.35,33,17261,13868.2,14101.7,14181.5,13566.54801,18060.76739,17802.07873,18403.29,33
Iowa,19,62795.54795,65231.29778,67504.80031,67532.94366,68706.38729,69365.55871,72989.36635,75932.30612,32,6414.17,6460.4,6691.08,6788.79,6431.650923,7053.020836,7179.659146,7174.22,22,3071.48,3192.47,3233.78,3416.3,3484.078043,3647.503305,3893.108105,3997.93,10,9097.2,8945.18,8819.6,7927.38,7900.27805,9152.997913,9816.796785,10030.09,18,16965.8,13869.8,14120.2,14233.3,13664.35609,18291.82896,18052.97978,18744.24,27
Kansas,20,67271.38151,69393.52119,70115.16355,70172.02463,72176.16842,72659.56173,75849.9445,78792.04466,25,6458.83,6508.76,6745.48,6798.42,6437.941907,7051.162397,7151.235387,7171.37,24,2998.57,3116.39,3156.78,3332.97,3384.715566,3561.749039,3792.627162,3900.42,25,9197.3,9003.88,8888.58,7936.18,7881.784745,9133.409794,9762.059377,9965.16,22,17238.9,14081.1,14339,14334.1,13696.18463,18373.24833,18105.77842,18773.18,24
Kentucky,21,58129.05482,59034.42906,61007.59165,61024.96786,61536.29738,62061.2771,64953.61468,67603.01112,48,6199.64,6197.67,6429.91,6529.29,6181.324537,6744.285367,6850.274084,6883.64,41,2946.22,3065.94,3103.53,3282.43,3323.96638,3480.569363,3704.135853,3809.72,31,8709.91,8542.93,8439.8,7533.17,7517.655436,8655.85669,9292.955016,9483.29,41,16362,13294,13590,13713,13143.86245,17506.70404,17303.85298,17909.07,43
Louisiana,22,57677.07049,64339.53365,63617.36868,63605.71787,65683.56778,67065.42652,70516.4887,73043.18431,39,5830.8,5928.87,6147.49,6129.8,5914.913086,6393.527534,6472.57401,6604.76,50,2621.88,2773.5,2783.33,2934.29,2956.878671,3119.568688,3320.332391,3399.54,49,8128.28,8141.2,8109.87,7066.24,7137.701826,8179.705603,8874.644482,8969.6,50,15512.4,12889.9,13243.1,13163.1,12766.79405,17030.26258,16970.03478,17328.53,50
Maine,23,59882.30862,61213.51232,65316.13505,65327.56856,67041.51178,67335.01835,70142.08055,73048.60634,38,6366.07,6375.69,6623.85,6774.68,6376.827143,6983.459977,7085.802562,7094.43,31,3078.02,3195.8,3243.4,3474.12,3526.964417,3685.48568,3923.730778,4040.6,5,8987.05,8813.97,8720,7915.25,7835.025478,9048.804205,9675.974832,9916.54,27,16803.8,13662.4,13958.8,14200.5,13551.54954,18098.1092,17800.45357,18512.54,31
